Age,Income,Education Level,Employment Status,Marital Status
40,33377.0,2,1,1
58,40265.0,1,1,1
38,26198.0,1,1,1
42,30169.0,2,1,1
45,41109.0,2,1,1
38,33811.0,3,1,1
42,36223.0,1,1,1
39,33893.0,2,1,1
32,36851.0,2,1,1
26,37318.0,2,1,1
35,36456.0,2,1,1
43,39009.0,2,1,1
43,27619.0,1,1,0
40,34602.0,1,1,1
37,33645.0,1,1,0
36,41841.0,2,1,1
40,33083.0,2,1,0
36,34314.0,2,1,1
33,33461.0,1,1,1
28,33748.0,2,1,1
35,42802.0,1,1,1
33,28826.0,2,1,1
47,35429.0,1,2,1
32,37137.0,1,1,1
31,30128.0,2,1,1
59,32564.0,2,1,1
42,33708.0,1,1,1
39,32079.0,1,1,1
32,38289.0,1,1,1
31,42652.0,2,0,1
36,44660.0,2,2,1
40,39582.0,1,1,1
42,38910.0,2,1,1
46,46485.0,1,1,1
42,57422.0,1,1,1
38,32795.0,1,1,1
43,34618.0,1,1,1
29,41160.0,2,1,1
43,43344.0,2,1,1
43,41245.0,1,1,1
39,34200.0,2,1,1
43,33117.0,2,1,1
37,45460.0,1,1,1
47,33809.0,1,1,1
39,32531.0,2,1,1
41,32952.0,1,1,1
32,43774.0,2,2,2
55,33975.0,1,1,1
37,53648.0,2,1,0
52,38195.0,2,1,1
26,35249.0,1,0,1
28,39763.0,1,1,1
36,40325.0,2,1,1
30,36562.0,2,1,1
41,34205.0,1,1,1
51,32496.0,1,1,1
37,40275.0,2,1,1
60,35822.0,2,1,1
29,37007.0,1,1,2
42,37593.0,2,1,1
34,45243.0,2,2,1
39,33260.0,1,1,1
56,37226.0,1,2,1
36,42012.0,2,1,1
31,39516.0,2,1,1
36,44297.0,2,0,1
33,41501.0,2,0,1
41,26687.0,3,2,1
38,31917.0,2,2,1
53,43580.0,2,1,1
36,38326.0,3,1,1
38,40616.0,2,1,1
41,35463.0,3,1,1
41,48687.0,2,1,1
39,34055.0,2,1,1
50,32771.0,1,1,1
57,37968.0,1,1,1
37,30143.0,2,1,1
33,33865.0,2,1,1
41,34652.0,2,1,1
38,40050.0,2,1,1
55,45089.0,2,2,1
43,36189.0,2,1,1
44,46789.0,2,1,1
45,37644.0,2,1,1
42,58963.0,1,1,0
31,31821.0,2,1,1
30,32823.0,2,1,1
34,35695.0,1,1,1
45,39499.0,1,1,1
53,36742.0,1,1,1
37,35736.0,1,1,1
38,56939.0,2,1,0
28,33304.0,2,1,1
46,51896.0,1,1,0
44,35307.0,1,1,1
42,40942.0,2,1,1
40,30472.0,2,1,1
53,56718.0,1,1,0
27,37525.0,2,1,2
48,60054.0,1,1,0
51,54845.0,1,1,0
30,42716.0,1,1,2
37,45256.0,2,1,1
44,31071.0,2,1,1
50,50330.0,1,1,0
39,37471.0,1,1,1
34,41227.0,2,1,1
54,41116.0,2,1,1
38,36185.0,2,2,1
37,41785.0,2,2,1
42,33135.0,1,1,1
57,41550.0,2,1,1
45,44903.0,2,1,1
39,31177.0,1,1,1
44,40532.0,2,1,1
49,36282.0,1,1,1
48,41347.0,2,2,1
46,47543.0,2,1,1
34,46074.0,2,1,1
45,28485.0,1,1,1
34,34605.0,2,1,1
44,35026.0,1,1,1
27,39120.0,1,1,1
43,40944.0,2,1,1
28,28084.0,2,0,1
37,38088.0,2,1,1
45,55343.0,1,1,0
37,28861.0,2,1,1
43,36031.0,1,1,1
32,36492.0,1,1,1
46,60196.0,1,1,0
34,35085.0,1,1,1
44,49276.0,1,1,1
52,34532.0,2,1,1
31,38715.0,1,1,1
29,36920.0,2,1,1
49,40500.0,1,1,1
56,42843.0,2,1,1
50,37605.0,1,1,1
46,32693.0,1,1,1
51,34763.0,2,1,1
42,41117.0,2,1,1
49,34116.0,1,2,1
38,26457.0,1,1,0
41,39267.0,2,1,1
31,29115.0,2,1,0
29,36095.0,1,1,1
32,33550.0,2,2,1
38,31942.0,2,1,1
42,47726.0,2,1,0
49,31605.0,2,1,1
44,58376.0,2,1,1
45,39465.0,2,2,1
41,45391.0,2,1,0
38,41342.0,2,1,1
53,32330.0,1,1,1
31,33894.0,2,1,1
60,39459.0,2,2,1
52,50525.0,2,1,0
43,38280.0,2,1,1
39,34168.0,2,1,0
33,35163.0,2,1,1
39,41225.0,2,1,1
40,49469.0,2,1,1
37,37146.0,3,1,1
40,37331.0,1,1,1
55,34915.0,2,1,1
32,30249.0,2,0,1
43,38026.0,2,2,1
45,40852.0,2,1,1
36,36884.0,1,1,1
25,42409.0,1,0,1
44,41461.0,1,1,1
30,37916.0,2,0,1
54,35515.0,1,2,1
