Age,Income,Education Level,Employment Status,Marital Status,ProgramEligibility
42,57422.0,1,1,1,1
42,47076.0,2,1,1,1
46,38921.0,2,1,1,1
53,38658.0,1,2,1,0
35,38612.0,2,1,1,1
29,41460.0,1,1,1,1
39,34055.0,2,1,1,1
42,40437.0,2,1,1,0
45,62445.0,1,1,0,1
46,58173.0,1,1,0,1
43,50445.0,1,1,1,1
48,56271.0,1,1,0,1
31,38715.0,1,1,1,0
56,35323.0,1,2,1,0
45,56652.0,1,1,0,1
43,34873.0,3,2,1,1
47,45914.0,2,1,1,1
35,33920.0,2,1,1,1
45,28485.0,1,1,1,0
51,54111.0,0,1,0,1
46,29358.0,1,1,1,0
50,40851.0,2,1,1,0
52,36482.0,2,1,1,0
54,39750.0,1,2,1,0
48,60054.0,1,1,0,1
37,32672.0,1,0,1,1
41,34571.0,2,1,1,0
31,32453.0,2,1,1,1
36,44297.0,2,0,1,1
39,51755.0,2,1,0,1
48,56044.0,1,1,0,1
33,38590.0,2,1,1,1
36,31268.0,0,1,1,0
51,52279.0,1,1,0,1
38,32136.0,2,1,1,0
41,40867.0,2,1,1,1
45,55437.0,2,1,0,1
45,29446.0,1,1,1,0
34,37159.0,2,1,1,1
42,35619.0,2,1,1,0
57,37045.0,1,2,1,0
37,35736.0,1,1,1,0
44,43996.0,2,1,1,0
45,36181.0,1,1,1,0
43,35130.0,1,1,1,0
45,53603.0,2,1,1,1
42,37439.0,1,1,1,0
49,45407.0,1,1,0,1
40,40692.0,2,2,1,0
55,39806.0,1,2,1,0
42,48027.0,2,1,0,1
54,41116.0,2,1,1,0
46,45142.0,2,1,1,1
53,60185.0,1,1,0,1
43,58709.0,2,1,1,1
39,43836.0,1,1,1,0
44,35307.0,1,1,1,0
48,38556.0,1,1,1,0
44,31830.0,1,1,1,0
30,43960.0,1,1,1,1
53,53387.0,2,1,0,1
45,55343.0,1,1,0,1
31,38593.0,2,1,1,1
48,41621.0,2,1,1,0
53,39399.0,2,1,1,0
48,21687.0,1,1,1,0
39,38439.0,2,1,1,0
37,25297.0,2,1,0,1
31,38499.0,0,1,1,0
30,36562.0,2,1,1,1
44,34372.0,1,1,1,0
37,34720.0,2,1,1,1
30,36712.0,1,1,1,1
37,30143.0,2,1,1,0
43,38280.0,2,1,1,0
31,33171.0,2,1,1,0
40,26589.0,1,1,1,0
63,38980.0,2,2,1,0
40,38687.0,1,1,1,0
35,42802.0,1,1,1,0
61,33659.0,1,2,1,0
36,39175.0,2,1,1,0
38,27908.0,1,1,0,0
37,38088.0,2,1,1,0
32,27439.0,2,1,1,1
39,35944.0,1,1,1,0
45,34054.0,1,1,1,0
35,38187.0,2,1,1,1
36,40133.0,2,1,1,0
44,41461.0,1,1,1,0
37,53648.0,2,1,0,1
40,45348.0,2,1,0,1
36,36884.0,1,1,1,0
40,38429.0,2,1,1,0
47,37132.0,2,2,1,1
38,29886.0,1,1,1,0
43,40516.0,2,1,1,0
26,36479.0,1,1,1,1
55,27912.0,1,1,1,0
45,63991.0,1,1,0,1
38,32980.0,1,1,1,0
43,30156.0,1,1,1,0
47,55049.0,1,1,0,1
35,38585.0,2,1,1,1
37,37146.0,3,1,1,1
40,35260.0,2,1,1,1
40,35332.0,1,1,1,0
30,27111.0,2,1,1,1
28,33304.0,2,1,1,0
40,41615.0,2,1,1,1
31,30394.0,1,1,1,0
43,42685.0,2,2,1,0
54,36202.0,1,1,1,0
39,34168.0,2,1,0,1
40,37331.0,1,1,1,0
29,34166.0,1,1,1,1
39,36023.0,2,1,1,0
35,32164.0,2,1,1,1
35,52638.0,2,1,0,1
32,34158.0,1,1,1,0
31,31129.0,2,2,1,1
37,34347.0,2,2,1,1
40,37550.0,3,1,1,1
41,62709.0,2,1,0,1
40,38829.0,1,1,1,0
47,33809.0,1,1,1,0
38,31236.0,2,1,1,0
50,37676.0,1,1,1,0
32,33245.0,1,1,1,1
39,44620.0,2,2,1,1
34,42793.0,1,1,1,0
51,32496.0,1,1,1,0
30,32823.0,2,1,1,1
31,42652.0,2,0,1,1
40,27599.0,2,1,1,0
56,37226.0,1,2,1,0
44,34280.0,2,1,1,0
31,34855.0,2,1,1,1
46,46120.0,2,1,1,1
46,41416.0,2,1,1,0
41,35463.0,3,1,1,1
45,42536.0,2,1,1,0
52,23236.0,1,1,1,0
37,34109.0,1,1,1,0
42,37593.0,2,1,1,1
55,45089.0,2,2,1,0
39,28077.0,1,1,1,0
41,32478.0,2,1,1,0
33,28826.0,2,1,1,1
34,33301.0,1,1,1,0
39,30858.0,0,1,1,0
39,32051.0,2,1,1,1
35,35319.0,1,1,1,1
56,36572.0,1,2,1,0
40,65629.0,2,1,0,1
34,32510.0,1,1,1,1
30,41441.0,2,1,1,1
41,43400.0,2,1,1,0
41,27044.0,1,1,1,0
43,49842.0,2,1,1,0
49,59406.0,1,1,0,1
38,43204.0,2,1,1,0
21,30193.0,1,1,0,0
45,39465.0,2,2,1,0
31,39516.0,2,1,1,1
35,38279.0,2,1,1,1
42,32302.0,1,1,1,0
35,35499.0,1,1,1,0
44,33380.0,1,1,1,0
36,38326.0,3,1,1,1
40,40144.0,2,1,1,0
42,41818.0,3,2,1,1
37,45460.0,1,1,1,1
41,48687.0,2,1,1,1
30,23449.0,2,1,1,0
33,37537.0,1,2,1,0
29,36095.0,1,1,1,1
54,34285.0,1,1,1,0
33,37954.0,2,1,1,1
47,36197.0,2,1,1,1
29,32292.0,0,1,1,0
26,35249.0,1,0,1,1
29,36920.0,2,1,1,1
52,37868.0,1,1,1,0
48,31519.0,1,1,1,0
53,36742.0,1,1,1,0
44,40543.0,1,1,1,0
48,50732.0,1,1,0,1
35,40754.0,1,1,1,0
39,37095.0,2,1,1,1
45,55966.0,2,1,0,1
39,48886.0,3,2,1,1
43,29632.0,1,1,1,0
41,26687.0,3,2,1,1
42,34695.0,2,1,1,1
51,31140.0,1,2,1,0
33,39573.0,1,1,1,0
42,27377.0,1,1,1,0
47,45612.0,2,2,1,0
31,35778.0,1,2,1,1
54,49051.0,2,2,1,0
53,23677.0,1,1,1,0
54,56967.0,1,1,0,1
50,46672.0,1,1,1,1
42,38931.0,1,1,1,0
38,31050.0,2,1,1,1
48,56243.0,1,1,0,1
46,39101.0,1,1,1,1
54,34724.0,1,1,1,0
42,28990.0,3,2,1,1
41,45645.0,1,2,1,1
40,40584.0,1,1,1,0
28,33748.0,2,1,1,1
44,32036.0,1,1,1,0
47,29599.0,2,1,1,0
45,51973.0,1,1,0,1
37,43222.0,2,1,1,1
43,42935.0,2,1,1,1
45,35427.0,1,1,1,0
32,37700.0,2,1,1,1
45,37644.0,2,1,1,0
34,44563.0,2,1,1,0
47,48808.0,2,1,0,1
46,32693.0,1,1,1,0
35,28240.0,2,1,1,1
29,32656.0,2,1,1,1
26,29902.0,2,0,1,1
40,34563.0,2,1,1,1
40,33083.0,2,1,0,1
34,35182.0,1,1,1,0
40,30720.0,2,1,1,1
37,33860.0,2,1,1,0
44,32626.0,2,1,1,0
49,35162.0,1,1,1,0
44,46789.0,2,1,1,0
34,36038.0,2,0,1,1
43,44783.0,2,1,1,1
35,40265.0,1,0,1,1
38,40050.0,2,1,1,1
29,38586.0,1,1,1,1
45,41398.0,2,1,1,1
35,43773.0,2,1,1,1
38,44150.0,2,1,1,0
36,37303.0,2,1,1,1
36,38077.0,2,1,1,1
57,36820.0,1,2,1,0
50,36721.0,1,1,1,0
37,37076.0,3,2,1,1
41,45391.0,2,1,0,1
35,45564.0,1,1,1,1
34,37918.0,1,1,0,1
38,39228.0,1,1,1,0
43,50003.0,1,1,1,1
65,33782.0,1,2,1,0
38,55763.0,2,1,1,1
27,30356.0,2,1,1,1
40,39244.0,2,1,1,1
43,27597.0,2,1,1,0
36,37303.0,2,1,1,1
52,23010.0,1,1,1,0
43,59938.0,1,1,0,1
49,49893.0,1,1,1,1
45,45711.0,2,1,1,1
44,36490.0,1,1,1,0
45,44903.0,2,1,1,1
41,35520.0,2,1,1,1
52,43495.0,2,2,1,0
51,46616.0,1,1,0,1
40,39602.0,1,1,1,0
45,52366.0,1,1,0,1
40,31428.0,2,1,1,1
44,41182.0,2,1,1,0
