Age,Income,Credit Score,Loan Amount,Loan Term,Interest Rate,Employment Length,Home Ownership,Marital Status,Dependents
53,44078.80232149839,273,10911.495281525016,18,16.039597477529686,18,0,2,5
56,79777.43411546813,340,18140.56111752289,27,23.530615473714303,31,1,0,6
49,90506.28874733792,500,8137.612321029522,27,18.893184312345674,27,0,0,5
46,76580.8648588361,289,7053.785234701513,28,16.959274884070357,13,0,2,3
43,53076.5989406962,411,10178.71594092807,18,20.75908488688958,28,0,1,6
43,48735.411341911,321,14228.20019852534,46,14.991583633261287,34,1,0,7
41,109184.8436656924,455,12154.862247406656,23,24.221990129940924,19,0,0,4
45,26963.302217220786,299,3603.788258945449,26,12.299331616990616,24,0,2,5
40,104620.3213509342,442,28260.105397206447,12,14.816039672141002,13,0,0,5
41,63730.50662554766,443,12783.234675973154,20,18.053338351092684,15,2,1,4
45,49792.50557574789,687,14169.91790632722,29,21.45564005607032,23,1,1,4
45,40014.910092235295,303,5989.821985573992,30,14.690209734556722,20,0,2,3
37,80181.0683426354,414,15766.81966949678,15,20.10756117076839,21,0,0,3
31,40903.67547254003,260,24672.547000577288,29,19.30761881486248,2,0,0,5
52,101350.27671581636,424,8247.821147533678,18,13.568859589415876,14,0,1,6
44,126023.16964362087,419,25083.0628042954,18,24.370245977276152,18,0,0,5
45,45092.77754001199,408,10048.812383048527,17,20.47554482328645,24,0,2,3
52,88850.33898101037,350,26708.10430499223,34,22.093404073483896,24,0,0,4
55,48791.539262259554,403,7007.786277039203,40,20.59653241173809,25,0,0,5
44,38305.56144398056,313,9526.752141268082,21,24.11689368576385,26,0,0,3
49,85867.4966720973,660,24348.79503589805,24,19.86322784618648,28,2,0,6
50,45567.79390547392,367,8300.548903158946,28,26.80888521901529,10,2,0,5
44,53151.26296917212,377,16982.62415938928,22,16.387639781965426,22,0,1,5
38,78594.02271416427,442,14004.746818926162,27,12.255584614413191,24,1,0,4
46,72964.84520015093,370,11021.304949104917,14,22.423643252844386,17,1,0,7
44,57377.15740544532,425,14286.905664608052,10,9.304016851079414,18,0,0,7
51,47400.78855785853,257,2726.859683093164,33,22.44285063642977,24,1,0,4
46,66674.04149728318,361,13342.866666365431,27,21.541982693206645,13,2,0,3
34,86373.64051460796,632,26307.07646305185,21,13.873999422363855,15,0,0,5
35,104091.57040830023,453,12831.89947796778,29,19.790437017125708,23,0,0,4
40,118310.04867086308,599,12599.666319749798,22,19.052566635796328,31,0,0,5
58,44129.82436340779,449,4905.082757892234,17,15.769459539979556,22,1,1,5
51,70220.76635723101,459,24155.372204748757,8,12.822389308982515,14,2,0,5
37,46389.23753837754,298,16563.345684504107,17,14.88923361718389,12,1,0,7
46,123563.0678347444,259,16591.328076648257,22,26.81135016433899,34,0,0,4
51,60016.684900575056,411,7988.173781956208,30,26.82951307190345,15,1,0,6
55,42348.77474631775,491,5366.196567265285,13,18.567163806679314,19,2,0,7
68,43910.24545087228,364,13077.540287385822,22,15.4041026972137,19,0,2,5
38,89473.4216747127,347,14574.509140474762,29,15.029180670008111,20,0,0,7
33,65392.13862984497,256,19903.430912299624,13,28.21376044112874,26,0,0,3
42,46618.31954456328,540,15445.686990782771,35,20.854763095359143,21,0,0,3
46,52525.20555114357,560,27635.217539299505,24,17.20503923149101,24,0,1,2
45,80124.62021005615,519,8287.520278884835,30,18.234639840129372,28,0,1,3
48,83203.11948904267,359,13945.741555343691,23,18.340368008180054,26,0,0,6
41,75782.96792173927,462,20631.11509372765,28,18.484253735043623,20,0,0,4
45,83609.67396020163,456,15046.176524138044,19,16.58201438797244,13,1,0,7
37,25605.783499274043,419,24621.18988725465,22,17.041998794865556,8,0,0,3
40,73256.38453444102,307,13445.039905171308,20,14.73890881524358,21,0,2,3
44,79738.59323680721,291,13165.712950282516,30,8.83164289363607,14,0,1,5
48,38784.6775389539,402,16358.800467998588,30,20.613482353385216,19,0,0,4
30,62931.20085022211,389,22799.921223832185,23,27.468859867348133,25,0,0,7
39,61118.33892925718,542,34020.26636528886,19,13.292800107379827,22,1,0,5
51,58015.6550859412,431,15718.595333550267,17,18.63986394972082,17,2,0,4
35,79094.11686049079,391,10397.465601987577,21,22.02902325381401,14,0,1,7
52,37157.12984509673,266,25000.524982733357,21,17.29186036974544,20,0,0,3
46,49178.4428678103,483,8622.362109746919,17,23.778087926187908,22,0,0,5
45,60260.23489944247,400,9796.39814754584,18,29.51829540012331,27,0,0,5
42,58665.68235847608,360,27693.820171797022,44,18.18601694891322,29,2,1,7
48,50893.915280713474,561,11364.020009325111,34,22.46523561750318,19,0,1,6
49,47318.75439110664,390,15096.201023207755,23,19.960175914766783,23,0,2,7
49,62843.53250584204,461,23485.927053334613,24,22.802850315765536,20,1,0,5
51,66876.88077577266,200,18633.87999640705,35,29.0098095350827,25,0,0,4
48,53204.11595707708,349,10684.026126146366,31,18.86249998240464,22,0,2,5
52,74831.42172484042,388,10204.72595830048,44,16.48118942638555,24,2,0,2
50,87707.53825060284,402,7056.8436347969855,30,15.412197718222142,25,1,0,6
51,62325.01177087514,266,9879.849812903329,26,24.24686237760648,25,1,1,4
53,34621.6489414509,502,8279.41023652315,27,13.971967678269534,19,0,0,2
45,90947.05687943488,570,28244.65709723895,31,14.697015363713732,25,0,0,4
34,68177.59543278621,491,15091.992557793385,30,16.500923988775856,24,1,0,7
42,52204.5085785253,389,17669.077066395283,32,19.947155048712137,25,0,1,5
48,102985.15780157669,375,16330.1063132639,25,27.157205934574037,24,0,1,6
35,109425.6135565424,482,17600.40664368221,27,21.89798254179755,18,0,0,6
44,64161.43738118614,218,17829.205705235378,25,23.21807932385465,24,0,1,4
46,50796.304079294045,390,26985.3557508643,31,18.754325410146976,20,0,0,2
47,51580.559986567154,510,12614.294650526885,30,20.401131244492465,22,1,0,7
48,45409.6708655559,416,14149.164533879224,20,12.1896828731068,26,0,1,4
68,42574.62835560954,454,19817.446096859898,15,21.15113265994242,22,0,0,5
47,60332.69935890122,438,9519.707341360054,21,17.768580905066944,24,0,1,2
47,57623.90026019047,426,18510.954216945564,19,21.68962511901285,25,2,0,4
43,36532.92567313633,338,10737.878151635106,20,19.157125530732355,30,0,0,4
40,65083.09281135375,319,17933.624150004693,23,13.863353973162756,15,1,0,6
56,73954.63423336779,384,6464.4597939689365,36,19.274737238373216,26,0,1,3
36,67632.09404853241,504,26419.583044196243,14,16.783123806198212,24,0,0,2
40,50010.83562956681,463,12618.693038042667,19,20.85521520479788,24,0,0,5
41,83477.18132609045,488,14102.889326238535,25,15.969474093726262,19,0,1,5
56,73627.09338766421,258,21421.62176352762,32,26.67530210938789,28,2,2,5
44,41563.672195680425,339,24915.824984619725,25,26.579697915922143,25,0,0,5
51,36503.265411077286,275,14170.849172261354,36,21.98786944300613,28,0,0,5
58,26941.339097519834,474,11783.92605849268,45,16.45438511708017,28,0,0,3
47,58512.15959408671,278,12266.43291993841,43,28.46064918283868,12,2,1,7
42,48799.4589672083,232,23890.44157890357,42,14.734627123756876,29,0,0,4
44,47481.95666534891,458,16456.76220939512,22,10.446889599675307,21,0,0,7
45,88650.65143682413,475,26794.98809521723,24,17.087405505915882,7,1,0,5
45,29465.153109372,408,18260.988247370835,13,15.30675897394778,19,0,0,4
39,48969.32177364484,405,17383.40527250988,30,15.411290736400854,18,0,0,4
35,51873.96233428667,342,29579.054327080037,25,23.716580551269203,24,0,0,4
43,70015.62052247336,449,12617.049514887409,19,18.239885868311134,17,0,0,4
39,31799.838160584302,391,9489.144647000792,22,20.16679448736396,20,0,1,7
41,97966.52867573511,345,9555.263796389489,35,13.80271321917889,16,0,0,3
41,31305.20542742309,384,6884.955330841539,30,18.174013386589763,12,0,0,2
46,77789.44396200977,459,23291.669168885503,21,19.469169367397228,25,0,0,5
61,88147.49051745722,352,2599.988675525321,37,15.189311556674356,28,0,2,5
51,32326.942742341314,434,7185.861096354925,27,22.486008418693743,19,0,0,4
59,73444.44656799207,279,20744.52936226936,11,23.20352804021425,19,0,2,5
56,58089.53915022114,262,24055.64755426432,28,23.230664583756788,31,0,0,7
49,84631.65334707353,322,12756.133673476375,36,19.5697948589568,17,0,0,4
38,90874.80166453157,330,29054.26103945269,32,17.656440457565356,10,1,1,5
50,39072.15306626586,572,8640.226017319905,15,21.07090183370661,18,0,0,3
41,39708.64471880296,418,7635.807023853319,22,14.904796260689332,9,0,0,4
37,38401.81309855651,456,16639.32688049697,20,23.250582762396387,17,0,0,5
53,109923.77039757805,392,21579.15546619433,42,22.110516154383102,25,0,1,6
56,47616.51928300046,242,15260.971812191718,28,15.21638153803754,23,2,0,5
43,68774.31592607514,435,23555.008807385744,18,16.00142641027717,32,1,1,3
45,30699.272204299803,453,21134.709363885548,16,12.348964811149504,32,1,0,6
50,45384.312753197046,376,19589.442081069006,27,23.538011222960343,22,0,0,5
45,78141.32919174846,525,14186.56808210679,28,19.38881295849752,21,0,2,6
52,50588.85319120071,362,15578.678719556568,24,15.8237270804087,15,0,1,4
51,97234.5867056642,392,500.0,32,18.287820349984784,37,0,0,6
31,118270.88113216666,487,12055.050363277653,22,22.27305821653765,14,0,1,5
44,77484.70334873907,520,12627.592624261468,18,10.03230812261162,21,2,1,7
36,51879.041360440366,290,20224.459315058743,36,17.587060829713497,15,0,0,5
41,58627.83911866746,435,14500.90014974169,22,17.9328637072708,29,0,0,4
53,126335.5467345371,381,15554.35923252506,31,16.52226534261514,19,0,0,4
49,29163.901786102448,259,6420.3363436992,25,20.883992041336583,19,1,0,5
37,47978.8371101509,440,25250.73158275059,26,22.408506545054763,13,0,0,7
49,44018.60488560458,231,17779.580885925832,19,15.108652365259276,33,0,1,6
49,115141.0704444604,323,8064.56109661964,22,13.529811947216896,14,1,0,3
52,82157.25746677969,444,9058.117845520504,37,16.632017820154378,17,0,2,5
62,43483.53250102964,200,17496.76791227617,37,25.703848728828728,23,0,1,5
52,71271.77948768665,481,2988.274818339105,35,22.793003914982343,14,2,0,5
40,53816.706615176445,478,10562.876798639652,26,19.223984707022943,22,0,0,3
54,27949.22051213408,426,21681.5240259477,15,15.372162437589727,26,0,0,5
47,55522.70960185703,461,17451.88740497342,26,15.529356572098813,21,1,1,6
49,47853.54483714393,313,13202.827830359229,16,21.66166899687097,9,0,0,6
46,59728.74436993655,480,8134.936019130104,24,24.18717994392964,22,0,0,4
38,59311.86524478969,369,3905.587416230501,19,17.660564067945817,18,1,0,7
51,83402.80286457871,600,14969.998502634882,24,17.877619503520588,23,0,2,4
