Age,Income,Credit Score,Loan Amount,Loan Term,Interest Rate,Employment Length,Home Ownership,Marital Status,Dependents
49,99171.24123357306,592,21115.447166317856,34,17.44562820761242,17,1,1,2
41,131498.8355488862,663,28340.85945689624,30,17.05983394989481,16,1,2,4
47,61444.00276067853,585,31882.54610909437,27,15.259771665252943,25,1,1,2
29,83243.04393854398,662,33101.109700201494,36,10.913569317840969,19,1,2,2
45,77198.20805892858,373,27319.1210650978,42,15.444322686688755,5,0,2,3
65,20000.0,614,7452.915412997224,44,10.906141645276543,28,1,1,3
45,58810.3270444654,572,26812.871575137367,29,15.41266388315548,14,1,1,3
39,96880.752441001,636,18958.295292460363,36,11.860974439801783,21,1,1,3
47,109453.37547053143,472,37047.519555014165,52,14.6541073929077,27,0,1,3
50,104528.7945246482,596,24912.31674060172,37,13.922506583656869,14,1,1,2
45,84024.4600558737,535,25908.83308155236,40,15.987414955829376,22,1,1,3
25,89630.96639991572,562,23953.543682384523,45,19.94389700961894,17,1,2,3
47,102940.09764604954,534,19664.465274145263,22,12.996202531019646,17,1,2,3
38,103451.9080481546,483,27996.2885796952,51,18.121622396576814,14,1,2,3
36,87232.70124385435,656,17533.091321944314,36,16.649671447727105,13,1,2,2
30,82605.24006183169,530,31519.74464719913,47,18.504647492433207,16,1,2,3
42,45457.821126521536,667,10625.71904518702,49,13.349164265385332,16,1,2,1
44,62679.29023151486,637,19775.755012016118,28,12.029709769620576,5,1,2,3
44,70259.60561179498,438,32677.92558806128,32,14.00476627594734,14,1,2,2
37,76846.40374689625,495,37428.36338537761,31,15.89668568668757,17,1,1,3
37,43449.353096464125,487,33849.05132079102,30,15.57197824563635,8,1,2,4
39,61319.59999066856,633,15764.80472466788,48,11.164860769085902,15,1,2,2
43,91699.13871746468,566,21686.539054184486,32,13.566251666204094,23,1,1,3
42,77946.67050192982,439,26630.59478857949,33,17.148570422676244,18,1,2,3
38,66961.09820664139,605,18673.66780850954,33,17.418849360700875,11,1,1,3
40,123382.12252047974,504,23592.37800003865,27,15.258475587528505,18,1,1,3
42,142632.76072321305,576,19628.10924943634,44,16.766852338316177,16,1,1,3
34,95637.554448837,619,23400.67548400819,38,11.532636766352097,9,1,2,2
48,113742.50117170833,541,14207.931103475745,39,14.43267515262296,21,1,1,4
48,68473.28279809438,645,21807.450598766303,34,15.038962943842458,20,1,2,3
44,62357.16380572386,556,21873.899039791988,40,13.836357207167216,14,1,2,3
48,73802.08763512052,543,23457.195751637228,25,17.191999219347856,21,1,2,3
39,93168.0133042142,523,22142.465127015028,28,12.263399376671586,20,1,1,3
50,124597.07331469133,637,24058.419596910386,38,14.709208713970824,19,1,1,2
45,69256.1735654624,554,29658.162927050907,33,16.81706415526775,24,1,1,3
57,74920.33442542254,443,32511.584380052755,39,16.556214630089393,29,0,2,3
37,91387.05692140073,572,31334.376317554124,31,19.011196520781112,19,1,2,3
52,120563.69380838703,429,21579.693626417207,35,18.407303813651254,25,1,1,1
41,40661.86616777994,526,30653.30690935023,35,16.58913969556705,26,1,1,3
43,67213.92989044644,421,33617.31314124576,45,11.939745970321797,27,1,2,4
31,98969.15669249064,549,35885.35781813535,43,12.126207997230852,28,1,1,2
44,82569.88995659177,587,25905.50460597383,40,17.642043153765247,18,1,1,3
47,95565.05902125729,507,21186.37242725065,49,15.475202199088413,18,1,2,3
41,63267.09540887826,687,23577.442112911045,40,16.55239307394956,13,1,1,1
46,88285.62592261357,454,42366.30697890791,54,14.397121036758936,33,1,1,3
46,50411.63730513793,449,31216.049290311003,22,14.24812040234958,16,1,2,2
33,101462.08907069724,524,26710.733676682696,42,19.008305364967228,18,1,2,2
37,79331.85096212424,568,37635.180218163485,41,14.763002560206536,24,1,1,2
45,96624.76620382456,428,32241.731208919915,55,13.103102298269356,22,1,2,4
43,85389.36157889033,569,31124.513735122007,37,16.021244017536823,24,1,1,3
39,83810.53618243168,486,25976.14096872181,31,19.29039701601137,21,0,1,3
49,65499.364591257865,546,22168.701275853942,29,13.624356361824626,9,1,2,3
41,91202.1337830804,573,21207.029960841926,33,16.52818293958935,14,1,2,2
45,92250.06735597731,571,8291.941087952291,49,19.744302712050956,8,1,1,3
45,87607.95714937999,593,17945.460568358696,37,14.996441354451903,14,1,2,3
53,84034.63938600119,580,24845.249776568737,30,14.168249121965694,15,1,2,2
32,82322.18721023464,472,38902.81866720671,48,11.26211918286018,31,1,1,3
49,65524.88083485232,520,35579.97786703277,28,11.953860144351829,11,1,2,3
38,73191.99532919278,776,23714.000644983757,49,12.96179304869817,15,1,2,1
41,79390.60635016649,526,7844.366783690387,40,12.75668936017922,16,1,3,3
46,86314.26316289061,517,29095.95000303012,31,15.527049734421531,15,1,2,2
43,73623.2096889265,480,18791.859927617243,42,11.26690043033911,17,1,2,3
45,116018.9158636378,594,22913.98768222065,38,11.142645900399572,9,1,2,3
43,122136.2179622731,649,29235.64826670641,47,15.345440528814391,23,1,1,2
44,59485.70949436425,414,40069.16497648968,50,12.767885649974358,26,1,1,4
46,41871.66681335722,680,14380.163730124745,39,12.28970820399351,14,1,2,2
42,106628.33194913366,575,22331.189153303687,46,17.708334910507396,25,1,1,3
40,66920.65232559787,600,26043.673154812685,39,13.525918466319126,15,1,2,3
31,113247.57588311896,564,28444.07487102309,38,14.011996852028592,14,1,2,3
35,100206.64030653473,556,25193.037332841606,31,17.7361367985427,19,1,2,3
48,100067.73456926653,563,18811.95779657728,43,16.188034472408344,18,1,2,3
32,96436.74798285346,445,29824.803313693392,30,13.199564042210612,15,1,1,2
49,96533.02992435204,577,14569.073159483674,34,16.812908886917782,19,1,2,1
37,87947.34898275974,712,32052.77168158741,28,11.25635656827178,16,1,2,3
51,82191.022528146,658,7584.172388010569,46,9.479850946353512,19,1,2,2
38,109124.32514577507,702,25293.60152417988,34,8.97821886260177,15,1,2,3
40,150000.0,506,21422.035365092084,32,18.09012882210849,17,1,1,4
37,94529.0788470772,527,26806.701698717337,40,17.134765494127954,12,1,2,2
46,83225.86117209241,473,30991.05929171425,40,12.138203951756164,9,1,2,2
36,39975.45822418424,489,34641.74420074311,38,13.971374882083538,17,1,0,4
28,88998.04375956855,622,34902.08917244043,39,9.971258837045731,13,1,2,2
56,81168.71134286374,586,14077.609561810285,52,7.782456983448872,17,1,2,2
39,97155.92624527992,652,30385.97253819332,35,14.19749021086082,15,0,2,3
41,113096.60098487488,635,24457.589434059697,30,9.759528080549924,16,1,2,4
29,95376.6615138748,646,32184.52299038154,28,14.880434722254943,19,1,2,3
51,83156.82635627795,578,20894.526844623662,33,12.53803141898716,8,1,2,2
29,119766.43727213868,600,25375.32884016993,49,16.490351959010287,8,1,2,3
57,78047.87939612975,490,31147.647062784825,45,18.892283682996304,20,1,1,4
47,65524.69199427695,512,27744.173753653988,32,14.442348277497164,25,1,2,4
50,114544.0981905156,439,38071.22237586732,57,15.128928521935546,23,0,2,3
40,75195.28144797968,554,29826.69917987064,39,14.59294631370746,24,1,1,3
42,82059.80740983057,611,18066.38778042547,52,9.70832559088444,24,1,2,2
33,93110.3862564632,480,28379.117917650645,31,16.170789044443058,17,1,1,2
53,91536.66086875784,499,21871.32600355292,44,17.87565790939896,20,1,2,4
31,115570.28244085258,556,21163.960578090293,48,20.41003154845146,21,1,2,2
25,144466.90877345388,588,35828.89109681024,28,16.072780459990177,15,1,2,3
43,82292.76777974586,425,41512.655382094905,45,11.556745222170964,40,1,1,3
44,72429.46472605693,654,21884.5510939332,39,16.176775274565884,23,1,1,2
