Age,Income,Credit Score,Loan Amount,Loan Term,Interest Rate,Employment Length,Home Ownership,Marital Status,Dependents,Loan Default
53,37687.40351449945,203,13218.809675684686,14,18.140826885910414,22,0,0,5,0
49,72650.45643888465,481,11374.237249603713,21,16.174812649771795,20,0,0,7,0
42,67102.70133507506,343,11392.212797564676,24,14.200564659168792,9,0,1,5,1
32,71848.53313132223,545,18821.943059937672,18,17.742611867504994,28,0,0,3,0
44,33144.96556092627,292,10280.937395414854,31,26.546899530485575,22,0,0,1,0
54,66823.73048172457,370,23098.68273586552,37,18.82717654355929,28,0,0,5,0
44,75179.1395571052,200,13497.628069326507,22,25.71958122698644,23,0,0,6,1
47,36378.95321949904,305,8385.372174163425,36,15.782560600929912,31,0,0,4,0
49,118776.48080493195,378,13793.677002103967,30,8.262678569805672,30,0,0,4,1
48,102910.40873892816,449,9418.696621854497,35,21.792199805538182,22,0,0,5,0
43,37863.38490991835,353,16431.071101435657,24,21.62971759251308,10,0,0,4,0
49,38252.91882721408,235,16639.778552143045,21,19.22164039621042,10,0,0,5,1
48,71640.10057059157,293,15370.039295133465,23,13.663712945525086,16,0,1,6,1
45,38026.4589249889,434,4304.587157062298,24,15.196572027387175,28,0,0,7,0
39,106658.16674189563,430,19110.909262329402,25,23.069483025150507,24,0,0,6,1
53,67019.61451356663,359,9595.262886778128,27,14.174022643449495,11,0,0,4,0
45,48227.00415515604,400,27152.284670524008,18,16.072941120728096,17,0,0,6,1
53,31319.748128637002,456,13936.449902125385,17,20.981529357744595,19,1,0,1,0
44,72360.79529008514,430,14545.446071295959,46,18.621063921473404,21,0,1,6,0
39,41299.30927734789,510,18800.850983561628,44,16.35312802578652,21,0,0,5,0
51,35411.44745302862,520,23249.597561903527,13,21.429818324230116,25,2,1,4,0
52,44205.14289984817,278,11854.346826675772,23,20.46697692372764,18,0,1,5,0
47,77724.21496317133,261,16410.66043451086,12,26.374341730136408,20,0,2,2,1
45,47895.35956124842,477,13513.879692296525,21,23.545892215569207,27,0,0,6,0
37,15000.0,325,17792.337001862357,9,12.209413085908002,20,1,2,4,1
36,73399.6640784401,399,14420.087059871797,25,23.625271392642265,16,0,0,4,0
49,120466.5813541152,282,15189.779673995688,23,14.517226814233998,23,0,0,3,1
38,77095.24318646853,446,7316.870173772183,33,16.36964725881392,31,0,0,4,0
