Age,Income,Credit Score,Loan Amount,Loan Term,Interest Rate,Employment Length,Home Ownership,Marital Status,Dependents,Loan Default
47,61283.88388791135,356,35046.07617457988,21,15.139739964574629,17,1,1,2,1
45,100750.01061412005,692,24005.709524195474,35,12.896774063460391,21,1,2,4,1
36,113441.90105202928,489,27678.683085472236,36,11.732194854420877,7,1,2,3,1
23,104369.16052798739,707,38380.73198201983,23,13.476465475290187,26,1,1,3,1
40,89272.85992541596,591,18452.067667081195,35,17.94222502972924,19,1,2,1,1
50,84303.27830285704,470,30098.713536485266,48,15.896717243705256,25,0,1,4,0
35,100206.64030653471,556,25193.037332841606,31,17.7361367985427,19,1,2,3,1
40,62018.500805819705,505,29643.398548383455,40,13.343962308948536,29,1,2,3,0
46,134690.2505969461,604,16658.757191360066,46,7.0449220932538825,28,0,2,3,0
42,109769.46020804976,565,21773.206475766598,41,15.316534534111138,20,1,2,3,0
40,88365.09426847116,502,27931.841727750223,37,15.038490655164965,9,1,1,3,1
46,64026.43879738346,482,24139.855357158543,28,13.463252571627724,6,1,2,3,1
43,120166.92673244499,531,24018.610526349723,34,12.391924877746998,15,1,2,3,1
46,67660.40512694448,596,5256.959431185912,36,12.353858374029679,24,0,2,3,0
40,116452.39948179765,626,27466.070702787943,40,16.206758760861305,21,1,2,3,1
50,94229.94646617038,587,22432.566199597975,30,10.851081966078773,10,1,2,3,0
44,69182.62732366697,638,26216.04584269661,31,14.112117773406537,13,1,2,3,0
48,89682.93074444898,568,21814.33163142761,29,15.32899708084732,18,1,2,1,1
42,82501.5936811762,691,25494.53357010278,46,15.61149660459725,17,1,1,1,1
39,82245.24019654674,743,23714.94033945408,53,10.421456614029868,18,1,1,2,0
42,46472.53756105554,508,35774.655393742105,39,13.990632303170866,24,1,1,3,0
48,54880.81148205039,573,17436.821175022775,38,14.717936025095195,14,1,2,2,0
42,76041.29047717861,619,14940.013334123558,30,17.53437097068001,16,1,2,2,0
45,98098.80343086108,584,24797.21451154891,39,17.977823917679366,22,1,1,2,0
