Setting_1,Setting_2,Setting_3,LPC_outlet_temperature,Physical_fan_speed,Corrected_core_speed,Burner_fuel_air_ratio,Maintenance_Status
20.0062,0.7005,100.0,608.42,2324.3,8081.73,0.03,3
35.0063,0.8417,100.0,555.89,2223.11,8074.61,0.02,1
0.003,0.0011,100.0,642.66,2388.12,8134.13,0.03,2
35.0063,0.84,100.0,556.45,2223.18,8080.51,0.02,2
9.9992,0.25,100.0,605.4,2318.98,8142.68,0.03,0
42.0078,0.84,100.0,549.78,2211.97,8092.1,0.02,3
20.0024,0.7006,100.0,608.62,2324.2,8074.73,0.03,3
35.0018,0.8418,100.0,556.5,2223.12,8079.24,0.02,2
10.0062,0.2512,100.0,605.3,2319.16,8193.66,0.03,3
42.0038,0.8414,100.0,549.66,2212.07,8091.96,0.02,1
41.9999,0.8408,100.0,549.97,2212.31,8107.57,0.02,2
20.0059,0.7,100.0,608.35,2324.49,8117.69,0.03,3
20.0072,0.7011,100.0,607.91,2323.99,8056.17,0.02,1
10.0016,0.2506,100.0,605.27,2318.9,8137.65,0.03,1
19.9998,0.7016,100.0,607.41,2324.09,8072.81,0.03,1
20.0074,0.701,100.0,607.32,2324.05,8072.37,0.02,1
19.9987,0.7,100.0,607.56,2324.21,8085.6,0.03,1
9.9993,0.2519,100.0,604.93,2318.96,8132.92,0.03,1
42.0056,0.84,100.0,549.89,2211.74,8079.66,0.02,1
0.0017,0.0019,100.0,642.39,2388.09,8149.99,0.03,1
42.0001,0.8419,100.0,550.01,2211.81,8089.81,0.02,1
10.0068,0.2504,100.0,605.43,2319.08,8124.29,0.03,2
0.0013,0.0011,100.0,642.73,2388.06,8145.2,0.03,1
0.0014,0.0,100.0,642.17,2388.05,8137.64,0.03,1
42.0002,0.84,100.0,549.98,2211.89,8077.42,0.02,1
25.0061,0.62,60.0,537.29,1915.23,7872.75,0.02,2
0.0002,0.0,100.0,643.18,2388.23,8142.79,0.03,3
10.0036,0.2505,100.0,605.06,2319.0,8136.09,0.03,1
42.0029,0.84,100.0,550.19,2213.08,8153.48,0.02,3
0.0019,0.0,100.0,642.14,2388.13,8137.13,0.03,1
25.0043,0.62,60.0,536.94,1915.29,7873.18,0.02,3
0.001,0.0,100.0,642.36,2388.13,8144.59,0.03,0
42.0076,0.84,100.0,550.62,2211.54,8078.21,0.02,3
42.0022,0.8409,100.0,549.51,2211.79,8078.53,0.02,2
10.0005,0.25,100.0,604.44,2318.88,8150.24,0.03,1
10.007,0.25,100.0,604.8,2318.97,8132.96,0.03,1
20.0048,0.7,100.0,607.7,2324.16,8077.44,0.03,3
0.0011,0.001,100.0,642.9,2388.06,8163.27,0.03,1
42.0057,0.84,100.0,549.64,2211.98,8088.74,0.02,1
25.0019,0.6218,60.0,537.02,1915.18,7867.45,0.02,2
42.006,0.8406,100.0,550.44,2212.75,8133.28,0.02,3
24.9994,0.6202,60.0,536.96,1915.47,7882.8,0.02,1
42.0062,0.8405,100.0,549.41,2211.8,8082.94,0.02,1
24.9989,0.62,60.0,537.29,1915.39,7882.36,0.02,2
42.0007,0.8403,100.0,550.02,2211.28,8064.46,0.02,3
35.0063,0.8411,100.0,555.69,2222.9,8067.71,0.02,0
0.0016,0.0,100.0,642.51,2388.08,8141.43,0.03,0
19.9981,0.702,100.0,606.88,2323.99,8070.72,0.02,1
42.0054,0.8409,100.0,550.17,2212.8,8132.72,0.02,1
41.9988,0.8407,100.0,548.79,2211.9,8085.3,0.02,0
20.0015,0.7011,100.0,607.29,2324.05,8071.19,0.02,1
20.0034,0.7012,100.0,608.53,2324.03,8049.33,0.03,2
42.0032,0.8404,100.0,550.28,2211.72,8083.88,0.02,3
35.0039,0.8409,100.0,556.16,2222.89,8064.93,0.02,1
0.0018,0.0,100.0,642.81,2388.17,8128.71,0.03,0
25.0022,0.6212,60.0,537.05,1915.51,7881.04,0.02,1
20.0056,0.7018,100.0,608.04,2324.01,8067.51,0.02,1
35.0048,0.84,100.0,555.96,2222.85,8064.28,0.02,2
42.0033,0.8403,100.0,550.17,2212.05,8095.86,0.02,2
25.0049,0.62,60.0,536.77,1915.62,7885.9,0.02,0
35.0025,0.8412,100.0,556.95,2224.98,8181.19,0.02,3
20.005,0.7,100.0,607.34,2324.1,8080.02,0.02,1
0.0026,0.0,100.0,643.34,2388.14,8175.84,0.03,3
42.0003,0.84,100.0,549.57,2212.03,8096.87,0.02,1
19.9988,0.7,100.0,606.99,2324.06,8070.97,0.02,0
42.0019,0.84,100.0,549.28,2211.94,8091.89,0.02,1
41.9999,0.84,100.0,549.9,2211.68,8074.17,0.02,2
42.0007,0.841,100.0,550.02,2211.86,8084.39,0.02,2
10.0004,0.25,100.0,605.55,2319.12,8134.36,0.03,3
25.0,0.6213,60.0,536.86,1915.86,7894.59,0.02,2
24.9994,0.6203,60.0,536.98,1915.54,7884.07,0.02,1
41.9993,0.84,100.0,549.92,2211.64,8073.64,0.02,2
25.0058,0.6212,60.0,536.95,1915.66,7887.92,0.02,1
42.0015,0.8408,100.0,549.61,2211.78,8076.94,0.02,0
42.0016,0.8416,100.0,550.25,2211.61,8072.49,0.02,3
0.0027,0.0009,100.0,642.62,2388.08,8154.2,0.03,1
0.002,0.0004,100.0,643.29,2388.14,8141.82,0.03,1
0.0016,0.0014,100.0,642.45,2388.05,8175.46,0.03,2
