Setting_1,Setting_2,Setting_3,LPC_outlet_temperature,Physical_fan_speed,Corrected_core_speed,Burner_fuel_air_ratio,Maintenance_Status
20.0018,0.7018,100.0,607.71,2323.95,8057.23,0.02,1
42.0049,0.8415,100.0,549.24,2212.03,8092.78,0.02,0
0.0026,0.0,100.0,643.25,2388.08,8140.22,0.03,1
9.9981,0.25,100.0,604.87,2318.92,8134.56,0.03,1
42.0058,0.8402,100.0,549.71,2212.11,8088.29,0.02,1
0.0017,0.0008,100.0,642.33,2388.09,8160.73,0.03,1
35.0048,0.84,100.0,555.48,2223.09,8075.09,0.02,0
20.0074,0.7,100.0,607.44,2323.93,8054.48,0.02,1
35.0055,0.84,100.0,555.88,2222.91,8067.72,0.02,1
9.9985,0.25,100.0,604.27,2318.83,8132.41,0.03,0
10.0015,0.25,100.0,604.18,2318.81,8124.13,0.03,0
42.003,0.84,100.0,550.24,2211.96,8090.01,0.02,0
20.0071,0.701,100.0,607.33,2323.82,8048.08,0.02,0
20.0002,0.701,100.0,607.01,2323.99,8065.29,0.02,0
42.0024,0.8418,100.0,549.03,2212.05,8093.53,0.02,1
25.0075,0.62,60.0,536.39,1915.39,7881.25,0.02,0
42.0079,0.8414,100.0,548.76,2211.87,8082.24,0.02,0
0.002,0.0,100.0,642.49,2388.05,8147.58,0.03,0
0.0005,0.0008,100.0,642.72,2388.13,8140.63,0.03,1
20.0059,0.701,100.0,606.84,2323.9,8064.77,0.02,0
41.9996,0.84,100.0,549.03,2211.96,8086.18,0.02,0
0.0017,0.0,100.0,642.68,2388.05,8150.76,0.03,0
35.0032,0.84,100.0,555.4,2222.97,8071.3,0.02,0
25.0018,0.6212,60.0,537.42,1915.14,7865.03,0.02,0
35.0079,0.84,100.0,555.7,2223.12,8073.64,0.02,0
35.0066,0.84,100.0,555.43,2223.08,8073.16,0.02,0
35.0055,0.84,100.0,555.52,2223.1,8075.86,0.02,0
0.003,0.0,100.0,642.96,2388.01,8141.99,0.03,0
42.0039,0.8408,100.0,549.59,2211.86,8087.58,0.02,0
25.0067,0.6217,60.0,536.53,1915.28,7876.07,0.02,0
35.0045,0.8404,100.0,555.97,2222.86,8062.83,0.02,1
35.0078,0.84,100.0,555.47,2222.9,8067.29,0.02,0
42.0018,0.8402,100.0,549.44,2211.94,8080.81,0.02,0
42.0047,0.8401,100.0,549.26,2211.93,8085.44,0.02,0
42.0006,0.84,100.0,549.6,2211.68,8072.18,0.02,0
34.9982,0.8403,100.0,555.8,2222.81,8054.32,0.02,0
0.0018,0.0,100.0,642.62,2388.09,8137.56,0.03,1
42.0079,0.84,100.0,548.91,2212.2,8095.67,0.02,0
20.0016,0.7006,100.0,607.68,2323.94,8051.5,0.02,0
20.0059,0.7,100.0,607.03,2323.91,8066.98,0.02,0
10.0055,0.2519,100.0,604.91,2319.03,8127.24,0.03,0
42.0009,0.8419,100.0,550.34,2211.85,8087.02,0.02,0
42.0033,0.8417,100.0,550.03,2211.73,8076.65,0.02,1
9.9993,0.25,100.0,604.43,2318.86,8128.22,0.03,0
0.0017,0.0017,100.0,642.11,2388.05,8147.2,0.03,0
10.0027,0.25,100.0,604.99,2318.92,8128.13,0.03,0
19.9992,0.7002,100.0,607.74,2323.96,8059.87,0.02,1
