LPC_outlet_temperature,HPC_outlet_temperature,LPT_outlet_temperature,Bypass_duct_pressure,HPC_outlet_pressure,Physical_fan_speed,Physical_core_speed,HPC_outlet_static_pressure,Fuel_flow_ratio,Corrected_fan_speed,Bypass_ratio,Bleed_enthalpy,HPT_cool_air_flow,LPT_cool_air_flow,Maintenance_Status
642.49,1587.17,1406.17,21.61,553.12,2388.01,9083.98,47.52,521.43,2388.05,8.4014,392,38.82,23.4176,1
642.96,1592.55,1419.6,21.61,552.73,2388.15,9098.15,47.71,520.69,2388.15,8.4587,395,38.59,23.2747,2
642.54,1585.36,1398.88,21.61,554.44,2388.02,9076.45,47.3,522.33,2388.01,8.4001,393,38.97,23.3531,0
642.37,1591.26,1412.05,21.61,552.67,2388.11,9069.39,47.76,520.89,2388.12,8.4922,394,38.83,23.2447,2
643.79,1610.66,1427.41,21.61,551.55,2388.15,9208.02,47.94,519.91,2388.15,8.5277,397,38.29,23.1184,3
642.15,1582.78,1403.63,21.61,554.09,2388.03,9102.75,47.31,521.54,2388.03,8.4111,394,38.87,23.2932,1
642.23,1588.89,1407.35,21.61,553.99,2388.05,9060.02,47.32,522.1,2388.1,8.416,393,39.0,23.3135,1
642.98,1590.93,1417.33,21.61,552.7,2388.12,9054.04,48.02,521.13,2388.15,8.4408,393,39.01,23.2666,1
643.17,1596.81,1407.67,21.61,553.25,2388.11,9047.39,47.69,521.35,2388.15,8.4291,393,38.66,23.2735,1
643.31,1598.55,1417.24,21.61,553.11,2388.19,9052.6,47.88,520.86,2388.19,8.4622,395,38.8,23.2138,2
642.73,1592.47,1412.48,21.61,552.79,2388.14,9066.66,47.33,521.72,2388.15,8.4531,393,38.86,23.3357,1
642.86,1596.19,1414.74,21.61,552.85,2388.09,9062.33,47.75,520.92,2388.18,8.4961,395,38.79,23.1898,2
642.77,1589.04,1406.22,21.61,553.88,2388.07,9073.7,47.46,521.6,2388.07,8.4117,393,38.77,23.3419,0
643.28,1595.49,1415.36,21.61,552.12,2388.18,9061.61,47.76,520.86,2388.16,8.4633,394,38.79,23.2333,1
643.23,1603.69,1428.6,21.61,552.28,2388.18,9075.72,48.0,520.29,2388.19,8.4915,396,38.46,23.0919,3
642.68,1587.0,1404.93,21.61,553.06,2388.06,9060.64,47.54,521.81,2388.12,8.452,393,38.84,23.3249,0
642.83,1602.17,1413.68,21.61,553.08,2388.13,9068.42,47.65,521.27,2388.06,8.4486,393,38.86,23.1118,1
642.12,1583.48,1403.79,21.61,553.9,2387.97,9070.0,47.34,522.1,2388.01,8.3872,392,38.91,23.3524,0
643.29,1604.68,1426.83,21.61,552.6,2388.29,9061.3,48.05,519.76,2388.2,8.5077,397,38.51,23.1551,3
642.72,1595.89,1409.44,21.61,553.63,2388.07,9093.64,47.86,521.47,2388.05,8.4334,393,38.9,23.2451,1
