LPC_outlet_temperature,HPC_outlet_temperature,LPT_outlet_temperature,Bypass_duct_pressure,HPC_outlet_pressure,Physical_fan_speed,Physical_core_speed,HPC_outlet_static_pressure,Fuel_flow_ratio,Corrected_fan_speed,Bypass_ratio,Bleed_enthalpy,HPT_cool_air_flow,LPT_cool_air_flow,Maintenance_Status
642.31,1585.1,1397.64,21.61,553.9,2387.98,9061.94,47.25,522.13,2388.03,8.4255,392,39.07,23.4047,0
642.56,1592.77,1410.07,21.61,552.63,2388.14,9059.35,47.49,521.61,2388.06,8.4387,392,38.88,23.2305,0
642.42,1576.86,1410.27,21.61,554.41,2388.03,9055.04,47.32,521.98,2388.03,8.4076,391,38.99,23.306,0
642.72,1585.41,1405.97,21.61,553.36,2388.04,9062.23,47.47,521.41,2388.13,8.4422,393,38.81,23.2887,1
642.04,1591.67,1400.46,21.61,552.82,2388.04,9061.86,47.59,521.5,2388.06,8.4276,394,38.86,23.3221,1
641.62,1589.79,1400.4,21.61,553.97,2388.01,9071.88,47.3,522.31,2388.03,8.4083,394,38.96,23.2585,0
642.06,1581.34,1408.52,21.61,554.39,2388.09,9059.59,47.67,521.14,2388.05,8.4445,391,38.86,23.391,0
642.85,1588.71,1399.05,21.61,554.57,2388.08,9058.88,47.37,521.86,2388.04,8.3989,390,39.09,23.3552,0
642.56,1591.76,1409.13,21.61,552.5,2388.07,9055.58,47.36,521.73,2388.15,8.4544,394,38.74,23.2034,0
642.58,1593.26,1406.36,21.61,553.23,2388.05,9060.9,47.59,521.85,2388.09,8.4482,392,38.83,23.3348,1
642.41,1581.56,1400.39,21.61,553.74,2388.06,9071.17,47.31,521.91,2387.99,8.4506,392,38.99,23.4733,1
642.36,1589.44,1402.93,21.61,554.96,2388.05,9047.15,47.3,522.4,2388.04,8.422,393,39.03,23.3918,0
642.84,1591.34,1401.74,21.61,553.68,2388.13,9064.24,47.38,521.49,2388.12,8.4171,394,38.79,23.3086,0
642.44,1587.88,1393.8,21.61,553.62,2388.05,9071.54,47.49,522.52,2388.05,8.3872,393,38.86,23.2953,0
642.62,1589.7,1405.17,21.61,553.47,2388.09,9057.95,47.51,521.45,2388.1,8.4503,391,38.91,23.2315,0
642.12,1584.85,1394.7,21.61,554.65,2388.03,9062.44,47.27,522.34,2387.99,8.3805,391,38.98,23.3428,0
642.58,1594.4,1407.05,21.61,553.03,2388.09,9070.88,47.63,521.52,2388.11,8.4468,393,38.74,23.3172,1
642.73,1593.42,1405.7,21.61,553.65,2388.07,9054.04,47.45,521.86,2388.08,8.4145,390,38.87,23.2507,0
642.17,1593.15,1403.15,21.61,553.93,2388.05,9062.66,47.46,521.79,2388.07,8.4432,393,38.85,23.3182,0
642.98,1591.07,1410.28,21.61,553.03,2388.11,9036.85,47.55,521.21,2388.14,8.4308,394,38.93,23.3649,0
642.31,1591.24,1407.75,21.61,553.17,2388.11,9062.14,47.52,521.66,2388.06,8.436,391,39.01,23.2595,0
642.93,1587.79,1403.62,21.61,554.3,2388.09,9069.65,47.55,522.15,2388.05,8.4486,392,38.85,23.3336,0
642.42,1593.65,1398.69,21.61,553.6,2388.04,9086.13,47.33,521.76,2388.03,8.4321,394,38.89,23.4849,1
642.46,1576.54,1406.97,21.61,553.94,2388.0,9065.63,47.31,521.87,2387.95,8.4252,392,39.1,23.4298,1
642.44,1588.7,1412.06,21.61,554.12,2388.11,9065.86,47.36,521.8,2388.07,8.4743,393,38.91,23.3193,0
642.82,1590.34,1403.64,21.61,554.2,2388.04,9062.28,47.34,522.26,2388.09,8.4218,394,39.02,23.4101,0
642.17,1576.74,1396.61,21.61,554.53,2388.02,9058.74,47.13,522.34,2387.98,8.3603,390,38.95,23.3287,0
642.11,1591.59,1415.12,21.61,552.87,2388.1,9065.83,47.68,521.22,2388.1,8.4453,392,38.8,23.2449,1
642.94,1595.83,1416.61,21.61,552.49,2388.11,9073.51,47.89,521.05,2388.07,8.4465,393,38.58,23.1748,1
642.36,1588.1,1402.17,21.6,554.29,2388.09,9059.12,47.3,521.89,2388.02,8.4071,392,38.93,23.3574,0
641.99,1592.25,1404.92,21.61,554.52,2388.01,9063.63,47.18,522.13,2387.97,8.4293,393,39.08,23.5075,0
642.67,1592.16,1410.95,21.61,553.52,2388.05,9062.9,47.33,521.76,2388.05,8.4645,392,38.83,23.416,0
642.61,1590.43,1396.7,21.61,553.71,2388.1,9064.92,47.37,521.43,2388.09,8.4055,393,38.84,23.3399,0
642.74,1585.87,1400.77,21.61,553.89,2388.12,9056.15,47.13,521.85,2388.11,8.4345,393,39.04,23.3957,0
643.09,1591.47,1415.07,21.61,552.94,2388.15,9068.22,47.5,521.26,2388.14,8.4653,394,38.86,23.3582,0
642.61,1593.71,1411.55,21.61,552.62,2388.11,9051.9,47.6,521.3,2388.17,8.4885,394,38.71,23.2403,1
642.72,1583.82,1403.63,21.61,553.62,2388.09,9043.19,47.31,521.21,2388.13,8.4214,393,38.88,23.2142,0
642.88,1591.54,1404.1,21.61,553.0,2388.11,9046.83,47.52,521.4,2388.11,8.4339,393,38.85,23.3357,0
642.79,1587.65,1406.43,21.61,554.1,2388.09,9043.76,47.31,521.63,2388.09,8.4277,392,38.8,23.3109,1
642.06,1592.04,1405.31,21.61,553.92,2388.03,9064.62,47.57,521.3,2388.12,8.4107,394,38.86,23.3844,0
642.32,1588.13,1394.85,21.61,554.66,2388.04,9068.97,47.33,522.44,2388.06,8.3786,391,39.06,23.3534,0
642.75,1587.09,1411.12,21.61,553.36,2388.13,9055.56,47.69,520.96,2388.17,8.4102,394,38.86,23.2336,0
642.99,1592.33,1406.84,21.61,554.25,2388.03,9052.97,47.26,521.55,2388.11,8.4161,394,38.76,23.4001,0
642.63,1591.59,1400.26,21.61,554.13,2387.97,9088.66,47.61,521.17,2388.01,8.4122,393,39.09,23.3415,1
642.82,1583.95,1403.59,21.61,554.73,2388.05,9060.68,47.45,521.64,2388.05,8.4381,391,38.86,23.3496,1
642.57,1582.27,1394.88,21.61,554.33,2388.02,9079.59,47.37,522.52,2388.0,8.4051,391,38.92,23.3722,1
642.54,1585.67,1405.34,21.61,553.81,2388.06,9092.27,47.41,521.66,2388.05,8.4401,392,38.91,23.3456,1
642.71,1597.23,1413.3,21.61,552.95,2388.12,9065.65,47.63,521.18,2388.09,8.4666,394,38.65,23.2512,1
642.32,1584.73,1403.76,21.61,553.93,2388.06,9056.15,47.3,522.38,2388.04,8.3935,391,39.16,23.3309,0
642.64,1582.06,1400.38,21.61,554.36,2387.98,9070.65,47.31,522.63,2387.95,8.4003,391,39.06,23.3906,0
642.68,1591.31,1411.31,21.61,553.47,2388.15,9057.44,47.5,521.2,2388.11,8.4488,392,38.99,23.3329,0
642.99,1595.03,1406.31,21.61,553.43,2388.07,9063.82,47.47,521.43,2388.12,8.4325,393,38.82,23.2672,0
642.1,1582.75,1396.31,21.6,554.73,2388.03,9058.17,47.14,522.24,2387.97,8.3936,392,39.01,23.3104,0
641.94,1587.23,1404.71,21.61,553.76,2388.12,9065.8,47.23,521.76,2388.01,8.3822,393,38.94,23.2498,0
641.94,1578.18,1400.78,21.61,553.91,2388.01,9065.02,47.31,522.05,2387.99,8.3972,391,38.85,23.3393,0
642.06,1589.44,1406.32,21.61,553.43,2388.04,9053.93,47.45,521.68,2388.02,8.426,391,38.97,23.4172,0
642.22,1588.95,1393.89,21.61,554.81,2388.03,9071.66,47.15,522.75,2388.0,8.3943,392,38.94,23.4024,0
642.26,1583.76,1395.52,21.61,553.66,2388.08,9063.01,47.4,521.37,2388.06,8.4482,392,38.92,23.4034,1
642.77,1591.31,1402.46,21.61,553.68,2387.96,9061.74,47.42,521.5,2388.05,8.445,393,38.91,23.3824,0
642.32,1600.12,1398.12,21.61,554.75,2388.07,9048.52,47.46,522.35,2388.07,8.383,391,38.8,23.3164,0
642.01,1585.44,1401.33,21.61,554.81,2387.98,9057.64,47.06,522.39,2387.99,8.3603,392,38.86,23.3726,0
642.21,1586.08,1392.81,21.61,554.99,2388.01,9057.71,47.1,522.36,2387.98,8.3929,392,39.13,23.3995,0
643.17,1583.37,1407.7,21.61,553.86,2388.09,9055.45,47.48,521.6,2388.08,8.4072,391,38.85,23.2807,1
642.1,1595.47,1411.96,21.61,552.93,2388.13,9049.87,47.64,521.55,2388.12,8.4781,393,38.81,23.235,0
642.29,1592.86,1409.75,21.61,553.93,2388.02,9061.7,47.44,521.6,2388.05,8.4018,393,38.9,23.279,0
642.5,1580.16,1406.16,21.6,553.78,2387.99,9087.81,47.35,521.97,2387.97,8.4142,392,38.81,23.2894,1
643.48,1590.49,1411.85,21.61,553.68,2388.15,9064.25,47.61,521.22,2388.08,8.4679,394,38.84,23.2753,1
642.04,1583.9,1396.15,21.61,554.66,2388.01,9068.56,47.16,522.13,2387.99,8.4081,393,38.96,23.3517,0
642.98,1596.6,1414.15,21.61,553.46,2388.09,9068.28,47.67,521.44,2388.14,8.4415,393,38.54,23.199,1
642.5,1582.64,1405.45,21.61,553.55,2388.05,9063.8,47.2,521.97,2388.09,8.3958,392,38.85,23.2773,1
642.61,1592.48,1406.91,21.61,552.8,2388.07,9061.15,47.45,521.08,2388.16,8.4237,393,38.8,23.291,0
642.49,1587.62,1407.37,21.61,553.13,2388.11,9058.96,47.44,521.88,2388.08,8.4021,394,38.8,23.2185,1
642.64,1588.7,1405.42,21.61,553.16,2388.05,9065.4,47.47,521.8,2388.08,8.4224,393,38.73,23.3069,0
