file,agent,temperature,max_iter,llm,dataset,initial_new,final_new,initial_old,final_old,improvement_new,improvement_old,generalization_gap_initial,generalization_gap_final,exec_time,tokens_used,iterations,success
selfdiscovery_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_a6dd6d9f.yaml,self_discovery,1.0,1,llama-3.1-8b-instruct,financial,0.0,0.8333333333333334,0.0,0.8916666666666667,0.8333333333333334,0.8916666666666667,0.0,0.05833333333333335,59.927693605422974,5033,1,True
selfdiscovery_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_5c24484d.yaml,self_discovery,1.0,1,llama-3.1-8b-instruct,eligibility,0.7833333333333333,0.7833333333333333,0.6333333333333333,0.6333333333333333,0.0,0.0,-0.15000000000000002,-0.15000000000000002,41.848071575164795,4747,1,True
react_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_48014243.yaml,react,1.0,1,llama-3.1-8b-instruct,eligibility,0.7833333333333333,0.5,0.6333333333333333,0.7466666666666667,-0.2833333333333333,0.1133333333333334,-0.15000000000000002,0.2466666666666667,32.96248126029968,3885,1,True
reflection_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_42cb6f9e.yaml,reflection,1.0,1,llama-3.1-8b-instruct,healthcare,0.86,0.8333333333333334,0.7333333333333333,0.8766666666666667,-0.026666666666666616,0.14333333333333342,-0.1266666666666667,0.043333333333333335,29.203822135925293,6421,1,True
reflection_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_f44d19e0.yaml,reflection,1.0,1,llama-3.1-8b-instruct,eligibility,0.7833333333333333,0.5666666666666667,0.6333333333333333,0.7933333333333333,-0.21666666666666667,0.16000000000000003,-0.15000000000000002,0.22666666666666668,30.563032865524292,6392,1,True
slow_temp_0.5_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_8006b4e0.yaml,slow,0.5,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.883,0.9133333333333333,0.922,0.16633333333333333,0.008666666666666711,0.19666666666666666,0.039000000000000035,98.562183,38762,1,True
improver_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_8be3ad20.yaml,fast,1.0,1,llama-3.1-8b-instruct,healthcare,0.7,0.8333333333333334,0.8566666666666667,0.8766666666666667,0.13333333333333341,0.020000000000000018,0.15666666666666673,0.043333333333333335,20.180834,740,1,True
fast_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_a02069a2.yaml,fast,1.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8,0.9133333333333333,0.9066666666666666,0.08333333333333337,-0.00666666666666671,0.19666666666666666,0.10666666666666658,17.605884,612,1,True
tot_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_753ac1fe.yaml,tot,1.0,1,llama-3.1-8b-instruct,healthcare,,0.8333333333333334,,0.8633333333333333,,,,0.029999999999999916,46.23924946784973,2852,1,True
tot_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_3eb4a6d5.yaml,tot,1.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8,0.9133333333333333,0.9066666666666666,0.08333333333333337,-0.00666666666666671,0.19666666666666666,0.10666666666666658,29.94543766975403,2157,1,True
fast_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_cbed616b.yaml,fast,1.0,1,llama-3.1-8b-instruct,eligibility,0.6333333333333333,0.6333333333333333,0.7833333333333333,0.7866666666666666,0.0,0.0033333333333332993,0.15000000000000002,0.15333333333333332,5.892326,621,1,True
improver_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_3f6a62ea.yaml,improver,1.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8833333333333333,0.9133333333333333,0.9016666666666666,0.16666666666666663,-0.011666666666666714,0.19666666666666666,0.018333333333333313,19.608098,613,1,True
planexecute_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_6e8c2b15.yaml,plan_execute,1.0,1,llama-3.1-8b-instruct,healthcare,0.86,0.8333333333333334,0.7333333333333333,0.8766666666666667,-0.026666666666666616,0.14333333333333342,-0.1266666666666667,0.043333333333333335,43.66054821014404,8027,1,True
planexecute_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_08d3c8ac.yaml,plan_execute,1.0,1,llama-3.1-8b-instruct,eligibility,0.7833333333333333,0.7666666666666667,0.6333333333333333,0.6966666666666667,-0.016666666666666607,0.06333333333333335,-0.15000000000000002,-0.07000000000000006,69.63284063339233,13209,1,True
planexecute_temp_0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_d2bd9636.yaml,plan_execute,0.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.85,0.9133333333333333,0.8683333333333333,0.1333333333333333,-0.04500000000000004,0.19666666666666666,0.018333333333333313,25.713590621948242,3128,1,True
react_temp_0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_166735aa.yaml,react,0.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.8,0.9133333333333333,0.9066666666666666,0.08333333333333337,-0.00666666666666671,0.19666666666666666,0.10666666666666658,29.281471490859985,3656,1,True
reflection_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_financial_79c3d579.yaml,reflection,1.0,1,llama-3.1-8b-instruct,financial,0.7166666666666667,0.7333333333333333,0.9133333333333333,0.805,0.016666666666666607,-0.10833333333333328,0.19666666666666666,0.07166666666666677,62.24962496757507,5846,1,True
slow_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_b1cf1c67.yaml,slow,1.0,1,llama-3.1-8b-instruct,eligibility,0.6333333333333333,0.6333333333333333,0.7833333333333333,0.7966666666666666,0.0,0.013333333333333308,0.15000000000000002,0.16333333333333333,85.215745,31384,1,True
fast_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_2e1630bf.yaml,fast,1.0,1,llama-3.1-8b-instruct,healthcare,0.7333333333333333,0.8333333333333334,0.86,0.87,0.10000000000000009,0.010000000000000009,0.1266666666666667,0.036666666666666625,18.033872,604,1,True
selfdiscovery_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_a2a7ee19.yaml,self_discovery,1.0,1,llama-3.1-8b-instruct,healthcare,0.86,0.86,0.7333333333333333,0.7333333333333333,0.0,0.0,-0.1266666666666667,-0.1266666666666667,47.86177730560303,4895,1,True
improver_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_46eb6446.yaml,fast,1.0,1,llama-3.1-8b-instruct,eligibility,0.0,0.6666666666666666,0.0,0.7966666666666666,0.6666666666666666,0.7966666666666666,0.0,0.13,26.594859,970,1,True
tot_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_eligibility_84694cae.yaml,tot,1.0,1,llama-3.1-8b-instruct,eligibility,,0.6666666666666666,,0.7866666666666666,,,,0.12,53.16658139228821,2819,1,True
react_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_6fd26f64.yaml,react,1.0,1,llama-3.1-8b-instruct,healthcare,0.86,0.7666666666666667,0.7333333333333333,0.87,-0.09333333333333327,0.13666666666666671,-0.1266666666666667,0.10333333333333328,31.67727041244507,5069,1,True
slow_temp_1.0_max_iter_1_llm_llama-3.1-8b-instruct_dataset_healthcare_b8db79e1.yaml,slow,1.0,1,llama-3.1-8b-instruct,healthcare,0.7333333333333333,0.8333333333333334,0.86,0.8666666666666667,0.10000000000000009,0.00666666666666671,0.1266666666666667,0.033333333333333326,89.878123,34495,1,True
