agent1,agent2,p_final_new,significant_final_new,p_final_old,significant_final_old,p_improvement_new,significant_improvement_new
baseline,fast,,,,,,
baseline,improver,,,,,,
baseline,plan_execute,,,,,,
baseline,react,,,,,,
baseline,reflection,,,,,,
baseline,self_discovery,,,,,,
baseline,slow,,,,,,
baseline,tot,,,,,,
fast,improver,,,,,,
fast,plan_execute,,,,,,
fast,react,0.42264973081037005,False,,,,
fast,reflection,0.6041813035905912,False,,,,
fast,self_discovery,0.2577621168183124,False,,,,
fast,slow,0.05897029832590202,False,,,,
fast,tot,,,,,,
improver,plan_execute,,,,,,
improver,react,,,,,,
improver,reflection,,,,,,
improver,self_discovery,,,,,,
improver,slow,,,,,,
improver,tot,,,,,,
plan_execute,react,,,,,,
plan_execute,reflection,,,,,,
plan_execute,self_discovery,,,,,,
plan_execute,slow,,,,,,
plan_execute,tot,,,,,,
react,reflection,0.9999999999999976,False,0.4995091859750226,False,0.9999999999999997,False
react,self_discovery,0.3058986703151703,False,0.16344495188546684,False,0.0020359315646035258,True
react,slow,0.031870099296218306,True,0.8696039523356903,False,0.03187009929621818,True
react,tot,,,,,,
reflection,self_discovery,0.346097652582936,False,0.7889764985785654,False,0.00011853269884327143,True
reflection,slow,0.07742146281918796,False,0.5944305079794374,False,0.07742146281918787,False
reflection,tot,,,,,,
self_discovery,slow,0.39717362901309755,False,0.6231247427735646,False,0.012426980645528893,True
self_discovery,tot,,,,,,
slow,tot,,,,,,
